City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,qaqortoq,60.7167,-46.0333,4.58,98,92,1.47,GL,1724983616
83,papatowai,-46.5619,169.4708,11.35,66,6,6.44,NZ,1724983859
84,port blair,11.6667,92.75,27.07,79,100,10.79,IN,1724983861
85,sinop,41.7711,34.8709,17.64,82,98,1.31,TR,1724983862
86,petropavlovsk-kamchatsky,53.0452,158.6483,21.33,46,0,4.0,RU,1724983807
87,la foa,-21.7108,165.8276,25.62,44,0,1.5,NC,1724983864
88,kruisfontein,-34.0033,24.7314,5.94,85,0,2.57,ZA,1724983865
89,dosso,13.049,3.1937,24.25,89,83,5.67,NE,1724983866
90,wynyard,-41.0,145.7167,11.63,70,9,9.41,AU,1724983867
91,kemi,65.8596,24.8228,13.87,94,40,3.09,FI,1724983868
92,flying fish cove,-10.4217,105.6791,25.82,78,40,5.66,CX,1724983705
93,abbeville,50.1,1.8333,15.83,76,100,1.24,FR,1724983766
94,wailua homesteads,22.0669,-159.378,27.44,78,75,6.17,US,1724983874
95,puerto natales,-51.7236,-72.4875,2.61,89,100,1.8,CL,1724983792
96,goris,41.9842,44.1158,17.4,67,1,4.12,GE,1724983876
97,wellington,-41.2866,174.7756,15.81,60,14,7.2,NZ,1724983833
98,bria,6.5423,21.9863,20.47,97,100,0.29,CF,1724983879
99,queenstown,-31.8976,26.8753,4.73,64,100,2.86,ZA,1724983880
100,puerto ayacucho,5.6639,-67.6236,24.09,92,99,1.87,VE,1724983881
101,swakopmund,-22.6833,14.5333,10.55,89,0,1.34,NA,1724983882
102,yuzhno-kurilsk,44.0306,145.8556,21.58,87,70,4.01,RU,1724983883
103,hithadhoo,-0.6,73.0833,28.46,77,79,6.18,MV,1724983885
104,port alfred,-33.5906,26.891,9.82,79,5,3.52,ZA,1724983641
105,zhalantun,48.0,122.7167,21.53,56,30,5.55,CN,1724983888
106,bodo,67.28,14.405,19.02,68,75,7.72,NO,1724983889
107,stanley,54.868,-1.6985,10.01,89,0,2.57,GB,1724983660
108,georgetown,5.4112,100.3354,29.97,70,20,3.6,MY,1724983836
109,bryne,58.7354,5.6477,13.65,92,40,3.09,NO,1724983892
110,longyearbyen,78.2186,15.6401,10.91,76,75,3.09,SJ,1724983893
111,georgiyevka,43.0369,74.7114,16.02,59,0,3.0,KZ,1724983894
112,st. john's,47.5649,-52.7093,12.76,77,79,3.58,CA,1724983608
113,crane,31.3974,-102.3501,28.34,50,100,3.02,US,1724983671
114,mount gambier,-37.8333,140.7667,14.37,58,3,7.36,AU,1724983898
115,sur,22.5667,59.5289,30.11,60,100,2.31,OM,1724983899
116,gharghoda,22.1667,83.35,26.56,83,5,1.06,IN,1724983900
117,ponta delgada,37.7333,-25.6667,22.4,73,40,1.03,PT,1724983901
118,iskateley,67.6803,53.1512,7.02,65,100,5.72,RU,1724983902
119,aripuana,-9.1667,-60.6333,25.66,38,5,0.49,BR,1724983904
120,ohafia-ifigh,5.6146,7.8119,22.56,97,100,1.92,NG,1724983905
121,rundu,-17.9333,19.7667,15.77,21,0,2.75,NA,1724983906
122,severo-vostotchnyi bank,39.4112,49.2479,23.85,68,0,2.74,AZ,1724983907
123,ouadda,8.0777,22.4007,19.75,98,100,0.4,CF,1724983908
124,lospalos,-8.5186,127.0025,26.93,53,32,5.27,TL,1724983909
125,namibe,-15.1961,12.1522,17.14,90,59,3.36,AO,1724983910
126,sisimiut,66.9395,-53.6735,5.29,78,100,1.34,GL,1724983911
127,tara,56.8944,74.371,11.78,95,100,3.43,RU,1724983914
128,rustaq,23.3908,57.4244,32.5,36,70,0.87,OM,1724983915
129,beitbridge,-22.2167,30.0,15.7,77,98,8.72,ZW,1724983916
130,maryborough,-25.5333,152.7,30.44,33,0,3.1,AU,1724983917
131,ust-nera,64.5667,143.2,5.43,99,100,0.7,RU,1724983918
132,punta arenas,-53.15,-70.9167,5.06,75,0,8.23,CL,1724983884
133,kone,-21.0595,164.8658,28.3,37,0,1.33,NC,1724983921
134,san antonio de pale,-1.4014,5.6325,24.38,78,98,3.98,GQ,1724983922
135,flin flon,54.7682,-101.865,15.99,77,83,3.63,CA,1724983923
136,laguna,38.421,-121.4238,32.58,35,0,5.66,US,1724983924
137,soure,-0.7167,-48.5233,26.89,80,49,5.51,BR,1724983925
138,saipan,15.1355,145.701,32.39,70,40,7.2,MP,1724983666
139,hamamatsu,34.7,137.7333,31.12,80,100,0.89,JP,1724983723
140,invercargill,-46.4,168.35,11.12,74,72,3.58,NZ,1724983928
141,keflavik,64.0049,-22.5624,10.24,93,100,7.72,IS,1724983724
142,sedico,46.1111,12.1003,19.49,88,13,2.87,IT,1724983931
143,tsiombe,-25.3,45.4833,19.18,90,27,1.23,MG,1724983725
144,mitsamiouli,-11.3847,43.2844,24.56,76,18,2.65,KM,1724983933
145,itaituba,-4.2761,-55.9836,24.8,41,78,1.1,BR,1724983934
146,ascencion de guarayos,-15.8963,-63.1881,23.34,32,25,1.38,BO,1724983935
147,dubbo,-32.25,148.6167,23.07,46,0,9.26,AU,1724983936
148,horsham,51.064,-0.3272,13.34,78,0,1.03,GB,1724983669
149,dibba al-hisn,25.6196,56.2729,33.04,44,8,0.93,AE,1724983939
150,lumphat,13.4878,106.9816,24.4,97,100,1.45,KH,1724983940
151,baijiantan,45.6333,85.1833,24.84,30,60,7.69,CN,1724983941
152,atafu village,-8.5421,-172.5159,28.32,75,23,7.6,TK,1724983855
153,salekhard,66.53,66.6019,7.95,74,99,5.55,RU,1724983943
154,dalandzadgad,43.5708,104.425,23.18,46,100,8.56,MN,1724983944
155,college,64.8569,-147.8028,15.99,68,75,5.14,US,1724983853
156,sitangkai,4.6628,119.3928,26.03,80,100,3.45,PH,1724983946
157,petauke,-14.2426,31.3253,21.4,54,5,3.67,ZM,1724983948
158,rio gallegos,-51.6226,-69.2181,8.03,53,0,6.17,AR,1724983857
159,huaidian,33.4333,115.0333,29.82,72,0,2.34,CN,1724983950
160,rongelap,11.1635,166.8941,28.73,78,93,6.61,MH,1724983951
161,lebu,-37.6167,-73.65,8.4,92,0,0.12,CL,1724983880
162,saint-philippe,-21.3585,55.7679,20.77,78,50,7.2,RE,1724983953
163,stanthorpe,-28.6667,151.95,25.79,31,0,8.22,AU,1724983954
164,rubiataba,-15.1644,-49.8033,24.0,36,9,1.67,BR,1724983956
165,constantia,44.1833,28.65,20.39,85,77,7.1,RO,1724983957
166,hinton,53.4001,-117.5857,17.93,53,11,1.62,CA,1724983958
167,nemuro,43.3236,145.575,20.11,94,62,5.62,JP,1724983830
168,thompson,55.7435,-97.8558,13.77,98,76,1.15,CA,1724983961
169,sarkand,45.41,79.9186,19.3,41,0,0.2,KZ,1724983962
170,puttalam,8.0362,79.8283,27.45,82,100,9.0,LK,1724983754
171,lakhipur,26.0299,90.3041,28.5,80,100,0.34,IN,1724983965
172,puerto lempira,15.2667,-83.7667,26.93,87,2,3.95,HN,1724983966
173,coquimbo,-29.9533,-71.3436,11.85,63,100,1.03,CL,1724983753
174,balqash,46.8481,74.995,18.74,54,0,4.11,KZ,1724983969
175,mishan,45.55,131.8833,23.65,75,100,3.4,CN,1724983970
176,as sulayyil,20.4607,45.5779,31.81,18,22,3.64,SA,1724983821
177,ago-are,8.5,3.4167,21.64,99,100,1.81,NG,1724983973
178,kardzhali,41.65,25.3667,17.75,80,2,1.49,BG,1724983974
179,morondava,-20.2833,44.2833,20.82,83,18,0.53,MG,1724983696
180,qarqaraly,49.4058,75.4742,14.85,55,38,4.04,KZ,1724983976
181,kuanda,56.3161,116.0806,14.66,52,14,2.64,RU,1724983977
182,payakumbuh,-0.2202,100.6308,24.91,86,100,0.6,ID,1724983978
183,kirakira,-10.4544,161.9205,29.82,64,96,5.32,SB,1724983979
184,tolanaro,-25.0319,46.9987,20.04,83,0,6.17,MG,1724983435
185,urucui,-7.2294,-44.5561,26.31,30,3,3.83,BR,1724983982
186,saveh,35.0213,50.3566,23.95,23,0,1.77,IR,1724983983
187,salamanca,40.8333,-6.0,17.92,54,0,1.32,ES,1724983775
188,ilulissat,69.2167,-51.1,4.01,87,75,0.51,GL,1724983317
189,oriximina,-1.7656,-55.8661,26.69,54,29,1.44,BR,1724983986
190,bredasdorp,-34.5322,20.0403,4.93,89,5,2.06,ZA,1724983346
191,mount pearl,47.5166,-52.7813,12.3,77,73,4.02,CA,1724983747
192,qamdo,31.1667,97.2333,14.36,51,51,0.58,CN,1724983989
193,lompoc,34.6391,-120.4579,16.96,81,75,4.12,US,1724983484
194,bulayevo,54.9056,70.4439,12.8,82,100,2.83,KZ,1724983992
195,afaahiti,-17.75,-149.2833,24.55,85,13,3.69,PF,1724983425
196,pengcheng,36.4311,114.17,31.3,54,4,1.55,CN,1724983994
197,kuta,-8.7233,115.1723,27.97,78,40,2.57,ID,1724983995
198,muroto-misakicho,33.2833,134.15,28.63,82,92,11.27,JP,1724983996
199,suoyarvi,62.0833,32.35,11.35,91,2,1.9,RU,1724983997
200,ngambe,4.2333,10.6167,20.57,99,100,1.32,CM,1724983998
201,salinopolis,-0.6136,-47.3561,26.63,81,8,5.54,BR,1724984000
202,newquay,50.4132,-5.0819,12.42,94,100,1.03,GB,1724984002
203,golden valley,45.0097,-93.3491,21.95,92,75,3.6,US,1724983749
204,piquete,-22.6136,-45.1761,15.92,68,1,1.46,BR,1724984004
205,egilsstadir,65.2653,-14.3948,6.71,77,35,3.79,IS,1724983746
